",""Ano"",""UF"",""Município"",""Região"",""Código Programa"",""Programa Fomento"",""IES"",""Status Jurídico"",""Programa"",""Área Avaliação"",""Área Conhecimento"",""Grande Área"",""Codigo IES"",""Coordenador Geral IsF"",""Coordenador Pedagógico IsF"",""DOUTORADO PLENO"",""Iniciação Científica"",""JOVENS TALENTOS - A"",""JOVENS TALENTOS - B"",""MESTRADO"",""MESTRADO PROFISSIONAL"",""PESQUISADOR VISITANTE ESPECIAL"",""PROF VISITANTE NACIONAL SÊNIOR"",""PROFESSOR VISITANTE EXTERIOR PLENO"",""PROFESSOR VISITANTE EXTERIOR SENIOR"",""Professor IsF"",""PÓS-DOUTORADO"",""Total Linha"""
"2986,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019010P7"",""PNPD"",""UFMT"",""Federal"",""SAUDE COLETIVA"",""INDEFINIDA"",""SAÚDE COLETIVA"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"2987,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019011P3"",""DS"",""UFMT"",""Federal"",""GEOCIÊNCIAS"",""INDEFINIDA"",""GEOCIÊNCIAS"",""CIÊNCIAS EXATAS E DA TERRA"",""50001019"",0,0,0,0,0,0,15,0,0,0,0,0,0,0,15"
"2988,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019011P3"",""FAPEMAT-II"",""UFMT"",""Federal"",""GEOCIÊNCIAS"",""INDEFINIDA"",""GEOCIÊNCIAS"",""CIÊNCIAS EXATAS E DA TERRA"",""50001019"",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4"
"2989,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019011P3"",""PNPD"",""UFMT"",""Federal"",""GEOCIÊNCIAS"",""INDEFINIDA"",""GEOCIÊNCIAS"",""CIÊNCIAS EXATAS E DA TERRA"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"2990,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019012P0"",""DS"",""UFMT"",""Federal"",""FÍSICA"",""INDEFINIDA"",""FÍSICA"",""CIÊNCIAS EXATAS E DA TERRA"",""50001019"",0,0,5,0,0,0,9,0,0,0,0,0,0,0,14"
"2991,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019012P0"",""FAPEMAT-II"",""UFMT"",""Federal"",""FÍSICA"",""INDEFINIDA"",""FÍSICA"",""CIÊNCIAS EXATAS E DA TERRA"",""50001019"",0,0,3,0,0,0,2,0,0,0,0,0,0,0,5"
"2992,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019012P0"",""FAPERO"",""UFMT"",""Federal"",""FÍSICA"",""INDEFINIDA"",""FÍSICA"",""CIÊNCIAS EXATAS E DA TERRA"",""50001019"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"2993,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019012P0"",""PNPD"",""UFMT"",""Federal"",""FÍSICA"",""INDEFINIDA"",""FÍSICA"",""CIÊNCIAS EXATAS E DA TERRA"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"2994,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019013P6"",""DS"",""UFMT"",""Federal"",""ECONOMIA"",""INDEFINIDA"",""ECONOMIA"",""CIÊNCIAS SOCIAIS APLICADAS"",""50001019"",0,0,0,0,0,0,13,0,0,0,0,0,0,0,13"
"2995,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019014P2"",""DS"",""UFMT"",""Federal"",""CIÊNCIA ANIMAL"",""INDEFINIDA"",""ZOOTECNIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,12,0,0,0,24,0,0,0,0,0,0,0,36"
"2996,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019014P2"",""FAPEMAT-II"",""UFMT"",""Federal"",""CIÊNCIA ANIMAL"",""INDEFINIDA"",""ZOOTECNIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,4,0,0,0,3,0,0,0,0,0,0,0,7"
"2997,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019014P2"",""PNPD"",""UFMT"",""Federal"",""CIÊNCIA ANIMAL"",""INDEFINIDA"",""ZOOTECNIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"2998,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019015P9"",""DS"",""UFMT"",""Federal"",""ENFERMAGEM"",""INDEFINIDA"",""ENFERMAGEM"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,1,0,0,0,19,0,0,0,0,0,0,0,20"
"2999,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019015P9"",""FAPEMAT-II"",""UFMT"",""Federal"",""ENFERMAGEM"",""INDEFINIDA"",""ENFERMAGEM"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,2"
"3000,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019015P9"",""NOVO PRODOUT"",""UFMT"",""Federal"",""ENFERMAGEM"",""INDEFINIDA"",""ENFERMAGEM"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2"
"3001,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019016P5"",""DS"",""UFMT"",""Federal"",""CIÊNCIAS FLORESTAIS E AMBIENTAIS"",""INDEFINIDA"",""RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,23,0,0,0,0,0,0,0,23"
"3002,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019016P5"",""FAPEMAT-II"",""UFMT"",""Federal"",""CIÊNCIAS FLORESTAIS E AMBIENTAIS"",""INDEFINIDA"",""RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4"
"3003,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019016P5"",""PNPD"",""UFMT"",""Federal"",""CIÊNCIAS FLORESTAIS E AMBIENTAIS"",""INDEFINIDA"",""RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3004,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019017P1"",""DS"",""UFMT"",""Federal"",""CIÊNCIAS VETERINÁRIAS"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,14,0,0,0,14,0,0,0,0,0,0,0,28"
"3005,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019017P1"",""FAPEMAT-II"",""UFMT"",""Federal"",""CIÊNCIAS VETERINÁRIAS"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,4,0,0,0,2,0,0,0,0,0,0,0,6"
"3006,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019017P1"",""PNPD"",""UFMT"",""Federal"",""CIÊNCIAS VETERINÁRIAS"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3007,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019018P8"",""DS"",""UFMT"",""Federal"",""RECURSOS HÍDRICOS"",""INDEFINIDA"",""CIÊNCIAS AMBIENTAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,20,0,0,0,0,0,0,0,20"
"3008,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019018P8"",""FAPEMAT-II"",""UFMT"",""Federal"",""RECURSOS HÍDRICOS"",""INDEFINIDA"",""CIÊNCIAS AMBIENTAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,5,0,0,0,0,0,0,0,5"
"3009,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019018P8"",""PNPD"",""UFMT"",""Federal"",""RECURSOS HÍDRICOS"",""INDEFINIDA"",""CIÊNCIAS AMBIENTAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"3010,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019019P4"",""DS"",""UFMT"",""Federal"",""Nutrição, alimentos e metabolismo"",""INDEFINIDA"",""NUTRIÇÃO"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,0,0,0,0,15,0,0,0,0,0,0,0,15"
"3011,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019019P4"",""FAPEMAT-II"",""UFMT"",""Federal"",""Nutrição, alimentos e metabolismo"",""INDEFINIDA"",""NUTRIÇÃO"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"3012,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019019P4"",""PNPD"",""UFMT"",""Federal"",""Nutrição, alimentos e metabolismo"",""INDEFINIDA"",""NUTRIÇÃO"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3013,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019020P2"",""DS"",""UFMT"",""Federal"",""ESTUDOS DE CULTURA CONTEMPORÂNEA"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""50001019"",0,0,10,0,0,0,14,0,0,0,0,0,0,0,24"
"3014,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019020P2"",""FAPEMAT-II"",""UFMT"",""Federal"",""ESTUDOS DE CULTURA CONTEMPORÂNEA"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""50001019"",0,0,10,0,0,0,2,0,0,0,0,0,0,0,12"
"3015,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019020P2"",""PNPD"",""UFMT"",""Federal"",""ESTUDOS DE CULTURA CONTEMPORÂNEA"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"3016,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019022P5"",""DS"",""UFMT"",""Federal"",""ENGENHARIA DE EDIFICAÇÕES E AMBIENTAL"",""INDEFINIDA"",""ENGENHARIA CIVIL"",""ENGENHARIAS"",""50001019"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"3017,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019022P5"",""FAPEMAT-II"",""UFMT"",""Federal"",""ENGENHARIA DE EDIFICAÇÕES E AMBIENTAL"",""INDEFINIDA"",""ENGENHARIA CIVIL"",""ENGENHARIAS"",""50001019"",0,0,0,0,0,0,6,0,0,0,0,0,0,0,6"
"3018,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019023P1"",""DS"",""UFMT"",""Federal"",""POLÍTICA SOCIAL"",""INDEFINIDA"",""SERVIÇO SOCIAL"",""CIÊNCIAS SOCIAIS APLICADAS"",""50001019"",0,0,0,0,0,0,9,0,0,0,0,0,0,0,9"
"3019,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019023P1"",""FAPEMAT-II"",""UFMT"",""Federal"",""POLÍTICA SOCIAL"",""INDEFINIDA"",""SERVIÇO SOCIAL"",""CIÊNCIAS SOCIAIS APLICADAS"",""50001019"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"3020,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019024P8"",""DS"",""UFMT"",""Federal"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,10,0,0,0,0,0,0,0,10"
"3021,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019024P8"",""FAPEMAT-II"",""UFMT"",""Federal"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"3022,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019024P8"",""PNPD"",""UFMT"",""Federal"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3023,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019025P4"",""DS"",""UFMT"",""Federal"",""DIREITO"",""INDEFINIDA"",""DIREITO"",""CIÊNCIAS SOCIAIS APLICADAS"",""50001019"",0,0,0,0,0,0,6,0,0,0,0,0,0,0,6"
"3024,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019025P4"",""FAPEMAT-II"",""UFMT"",""Federal"",""DIREITO"",""INDEFINIDA"",""DIREITO"",""CIÊNCIAS SOCIAIS APLICADAS"",""50001019"",0,0,0,0,0,0,7,0,0,0,0,0,0,0,7"
"3025,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019026P0"",""DS"",""UFMT"",""Federal"",""CIÊNCIA DE MATERIAIS"",""INDEFINIDA"",""MATERIAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,13,0,0,0,0,0,0,0,13"
"3026,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019026P0"",""FAPEMAT-II"",""UFMT"",""Federal"",""CIÊNCIA DE MATERIAIS"",""INDEFINIDA"",""MATERIAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"3027,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019026P0"",""PNPD"",""UFMT"",""Federal"",""CIÊNCIA DE MATERIAIS"",""INDEFINIDA"",""MATERIAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3028,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019028P3"",""DS"",""UFMT"",""Federal"",""EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA - UFMT - UFPA - UEA"",""INDEFINIDA"",""ENSINO"",""MULTIDISCIPLINAR"",""50001019"",0,0,4,0,0,0,0,0,0,0,0,0,0,0,4"
"3029,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019028P3"",""FAPERO"",""UFMT"",""Federal"",""EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA - UFMT - UFPA - UEA"",""INDEFINIDA"",""ENSINO"",""MULTIDISCIPLINAR"",""50001019"",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2"
"3030,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019029P0"",""DS"",""UFMT"",""Federal"",""QUÍMICA"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""50001019"",0,0,0,0,0,0,15,0,0,0,0,0,0,0,15"
"3031,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019029P0"",""FAPEMAT-II"",""UFMT"",""Federal"",""QUÍMICA"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""50001019"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"3032,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019030P8"",""DS"",""UFMT"",""Federal"",""ENGENHARIA AGRÍCOLA"",""INDEFINIDA"",""ENGENHARIA AGRÍCOLA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,13,0,0,0,0,0,0,0,13"
"3033,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019030P8"",""FAPEMAT-II"",""UFMT"",""Federal"",""ENGENHARIA AGRÍCOLA"",""INDEFINIDA"",""ENGENHARIA AGRÍCOLA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"3034,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019030P8"",""PNPD"",""UFMT"",""Federal"",""ENGENHARIA AGRÍCOLA"",""INDEFINIDA"",""ENGENHARIA AGRÍCOLA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"3035,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019031P4"",""DS"",""UFMT"",""Federal"",""IMUNOLOGIA E PARASITOLOGIA BÁSICAS E APLICADAS"",""INDEFINIDA"",""IMUNOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""50001019"",0,0,0,0,0,0,14,0,0,0,0,0,0,0,14"
"3036,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019031P4"",""FAPEMAT-II"",""UFMT"",""Federal"",""IMUNOLOGIA E PARASITOLOGIA BÁSICAS E APLICADAS"",""INDEFINIDA"",""IMUNOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""50001019"",0,0,0,0,0,0,6,0,0,0,0,0,0,0,6"
"3037,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019031P4"",""PNPD"",""UFMT"",""Federal"",""IMUNOLOGIA E PARASITOLOGIA BÁSICAS E APLICADAS"",""INDEFINIDA"",""IMUNOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3038,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019032P0"",""DS"",""UFMT"",""Federal"",""CIÊNCIAS AMBIENTAIS"",""INDEFINIDA"",""CIÊNCIAS AMBIENTAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,9,0,0,0,0,0,0,0,9"
"3039,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019032P0"",""FAPEMAT-II"",""UFMT"",""Federal"",""CIÊNCIAS AMBIENTAIS"",""INDEFINIDA"",""CIÊNCIAS AMBIENTAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,12,0,0,0,0,0,0,0,12"
"3040,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019032P0"",""PNPD"",""UFMT"",""Federal"",""CIÊNCIAS AMBIENTAIS"",""INDEFINIDA"",""CIÊNCIAS AMBIENTAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3041,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019033P7"",""DS"",""UFMT"",""Federal"",""Zootecnia"",""INDEFINIDA"",""ZOOTECNIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,15,0,0,0,0,0,0,0,15"
"3042,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019033P7"",""FAPEMAT-II"",""UFMT"",""Federal"",""Zootecnia"",""INDEFINIDA"",""ZOOTECNIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,12,0,0,0,0,0,0,0,12"
"3043,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019034P3"",""DS"",""UFMT"",""Federal"",""Agronomia"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,11,0,0,0,0,0,0,0,11"
"3044,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019034P3"",""FAPEMAT-II"",""UFMT"",""Federal"",""Agronomia"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,7,0,0,0,0,0,0,0,7"
"3045,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019034P3"",""PNPD"",""UFMT"",""Federal"",""Agronomia"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"3046,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019035P0"",""DS"",""UFMT"",""Federal"",""Educação Física"",""INDEFINIDA"",""EDUCAÇÃO FÍSICA"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,0,0,0,0,13,0,0,0,0,0,0,0,13"
"3047,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019035P0"",""FAPEMAT-II"",""UFMT"",""Federal"",""Educação Física"",""INDEFINIDA"",""EDUCAÇÃO FÍSICA"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"3048,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019035P0"",""PNPD"",""UFMT"",""Federal"",""Educação Física"",""INDEFINIDA"",""EDUCAÇÃO FÍSICA"",""CIÊNCIAS DA SAÚDE"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3049,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019036P6"",""DS"",""UFMT"",""Federal"",""GEOGRAFIA"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4"
"3050,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019036P6"",""FAPEMAT-II"",""UFMT"",""Federal"",""GEOGRAFIA"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,6,0,0,0,0,0,0,0,6"
"3051,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019036P6"",""PNPD"",""UFMT"",""Federal"",""GEOGRAFIA"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3052,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019037P2"",""DS"",""UFMT"",""Federal"",""Antropologia Social"",""INDEFINIDA"",""ANTROPOLOGIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,7,0,0,0,0,0,0,0,7"
"3053,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019037P2"",""FAPEMAT-II"",""UFMT"",""Federal"",""Antropologia Social"",""INDEFINIDA"",""ANTROPOLOGIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,9,0,0,0,0,0,0,0,9"
"3054,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019037P2"",""INCT"",""UFMT"",""Federal"",""Antropologia Social"",""INDEFINIDA"",""ANTROPOLOGIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"3055,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019037P2"",""PNPD"",""UFMT"",""Federal"",""Antropologia Social"",""INDEFINIDA"",""ANTROPOLOGIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3056,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019038P9"",""DS"",""UFMT"",""Federal"",""Filosofia"",""INDEFINIDA"",""FILOSOFIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4"
"3057,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019038P9"",""FAPEMAT-II"",""UFMT"",""Federal"",""Filosofia"",""INDEFINIDA"",""FILOSOFIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4"
"3058,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019039P5"",""DS"",""UFMT"",""Federal"",""Zoologia"",""INDEFINIDA"",""ZOOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""50001019"",0,0,0,0,0,0,8,0,0,0,0,0,0,0,8"
"3059,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019039P5"",""FAPEMAT-II"",""UFMT"",""Federal"",""Zoologia"",""INDEFINIDA"",""ZOOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""50001019"",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4"
"3060,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019039P5"",""PNPD"",""UFMT"",""Federal"",""Zoologia"",""INDEFINIDA"",""ZOOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""50001019"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"3061,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019039P5"",""PROTAX-II"",""UFMT"",""Federal"",""Zoologia"",""INDEFINIDA"",""ZOOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""50001019"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"3062,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019101P2"",""DS"",""UFMT"",""Federal"",""SOCIOLOGIA"",""INDEFINIDA"",""SOCIOLOGIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"3063,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019101P2"",""FAPEMAT-II"",""UFMT"",""Federal"",""SOCIOLOGIA"",""INDEFINIDA"",""SOCIOLOGIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,5,0,0,0,0,0,0,0,5"
"3064,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019102P9"",""DS"",""UFMT"",""Federal"",""CIÊNCIAS EM SAÚDE"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"3065,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019102P9"",""FAPEMAT-II"",""UFMT"",""Federal"",""CIÊNCIAS EM SAÚDE"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,6,0,0,0,0,0,0,0,6"
"3066,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019171P0"",""DS"",""UFMT"",""Federal"",""PSICOLOGIA"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,5,0,0,0,0,0,0,0,5"
"3067,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019171P0"",""FAPEMAT-II"",""UFMT"",""Federal"",""PSICOLOGIA"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""50001019"",0,0,0,0,0,0,8,0,0,0,0,0,0,0,8"
"3068,2018,""MT"",""CUIABÁ"",""CENTRO-OESTE"",""50001019172P7"",""DS"",""UFMT"",""Federal"",""GESTÃO E TECNOLOGIA AMBIENTAL"",""INDEFINIDA"",""CIÊNCIAS AMBIENTAIS"",""MULTIDISCIPLINAR"",""50001019"",0,0,0,0,0,0,6,0,0,0,0,0,0,0,6"
