",""Ano"",""UF"",""Município"",""Região"",""Código Programa"",""Programa Fomento"",""IES"",""Status Jurídico"",""Programa"",""Área Avaliação"",""Área Conhecimento"",""Grande Área"",""Codigo IES"",""Coordenador Geral IsF"",""Coordenador Pedagógico IsF"",""DOUTORADO PLENO"",""Iniciação Científica"",""JOVENS TALENTOS - A"",""JOVENS TALENTOS - B"",""MESTRADO"",""MESTRADO PROFISSIONAL"",""PESQUISADOR VISITANTE ESPECIAL"",""PROF VISITANTE NACIONAL SÊNIOR"",""PROFESSOR VISITANTE EXTERIOR PLENO"",""PROFESSOR VISITANTE EXTERIOR SENIOR"",""Professor IsF"",""PÓS-DOUTORADO"",""Total Linha"""
"19,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011070P0"",""DS"",""UFAC"",""Federal"",""CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""11001011"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"20,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011071P6"",""DS"",""UFAC"",""Federal"",""CIÊNCIA FLORESTAL"",""INDEFINIDA"",""RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL"",""CIÊNCIAS AGRÁRIAS"",""11001011"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"21,2018,""AC"",""RIO BRANCO"",""NORTE"",""12001015038P1"",""DS"",""UFAC"",""Federal"",""Biodiversidade e Biotecnologia - Rede BIONORTE"",""INDEFINIDA"",""BIOTECNOLOGIA"",""MULTIDISCIPLINAR"",""11001011"",0,0,4,0,0,0,0,0,0,0,0,0,0,0,4"
"22,2018,""AC"",""RIO BRANCO"",""NORTE"",""31001017085P3"",""NOVO PRODOUT"",""UFAC"",""Federal"",""INTERDISCIPLINAR LINGÜÍSTICA APLICADA"",""INDEFINIDA"",""LETRAS"",""LINGÜÍSTICA, LETRAS E ARTES"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"23,2018,""AC"",""RIO BRANCO"",""NORTE"",""31002013011P6"",""NOVO PRODOUT"",""UFAC"",""Federal"",""CIÊNCIAS AMBIENTAIS E FLORESTAIS"",""INDEFINIDA"",""RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL"",""CIÊNCIAS AGRÁRIAS"",""11001011"",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2"
"24,2018,""AC"",""RIO BRANCO"",""NORTE"",""31003010005P6"",""NOVO PRODOUT"",""UFAC"",""Federal"",""HISTÓRIA"",""INDEFINIDA"",""HISTÓRIA"",""CIÊNCIAS HUMANAS"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"25,2018,""AC"",""RIO BRANCO"",""NORTE"",""32007019005P0"",""NOVO PRODOUT"",""UFAC"",""Federal"",""ENGENHARIA CIVIL"",""INDEFINIDA"",""ENGENHARIA CIVIL"",""ENGENHARIAS"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"26,2018,""AC"",""RIO BRANCO"",""NORTE"",""32008015006P3"",""NOVO PRODOUT"",""UFAC"",""Federal"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"27,2018,""AC"",""RIO BRANCO"",""NORTE"",""33002029007P0"",""NOVO PRODOUT"",""UFAC"",""Federal"",""PATOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"28,2018,""AC"",""RIO BRANCO"",""NORTE"",""33004064039P3"",""NOVO PRODOUT"",""UFAC"",""Federal"",""AGRONOMIA (AGRICULTURA)"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
